Type,Order,Family,Genus,Species,authority,Popular_name_PT,English_name,BR,RR,RB,TP,SG,SB,EM,OC,Habitat use,Depth_category,max_depth_m,Size_category,Maximum_size_cm,Mobility,Geographic_distribution,Trophic_category ,Functional group,Potencial de dispersão,Rafting,Targeted_species_fisheries,IUCN,National list,Brazilian Province,Argentine,North Islands,Central Islands,PML-PAMA,Northeast with PAMA-PML,Northeast,Southeast,Noronha/rocas,Atol,FN,SpSp,PML,PA-MA,CE,RN,PE,PB,AL,CVT,Tri,BA,Abr,ES,ArC,IGr,RJ,SP,PR,SC,URU,ARG,total,BR Endêmico,SWA Endemic,Expatriated,Exotic,References,Museums,OBS,
CONDR,Lamniformes,ALOPIIDAE,Alopias,Alopias superciliosus,"Lowe, 1841",,,0,0,0,0,0,0,0,1,1,VDEEP,730,LARGE,488,HMO,CT,MCAR,MCAR,LIV,N,2,VU,VU,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,,,0,"24, 30, 70, 87",,,
CONDR,Lamniformes,ALOPIIDAE,Alopias,Alopias vulpinus,"(Bonaterre, 1788)",Cação-Raposa; Cação-pena; Rabilongo; Tubarão-raposa,Thresher shark; Foxshark; Foxtail; Sickletail; Swingtail; Thintail Thresher,0,0,0,0,0,0,0,1,1,VDEEP,550,LARGE,760,HMO,CT,MCAR,MCAR,LIV,N,2,VU,VU,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,5,0,,,0,"17, 41",,Gaspa,
OSTEICH,Cyprinodontiformes,ANABLEPIDAE,Anableps,Anableps anableps,"(Linnaeus, 1758)",,,0,0,0,0,0,1,1,0,2,SHALL,,MED,30,SED,WA,MINV,MINV,LIV,N,0,,LC,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,Venezuela towards south,0,,,Alfie,
OSTEICH,Cyprinodontiformes,ANABLEPIDAE,Anableps,Anableps microlepis ,"Müller & Troschel, 1844",,,0,0,0,0,0,1,1,0,2,SHALL,,MED,30,SED,WA,MINV,MINV,LIV,N,0,,LC,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,Venezuela towards south,0,,,Alfie,
OSTEICH,Lophiiformes,ANTENNARIIDAE,Antennarius,Antennarius multiocellatus,"(Valenciennes, 1837)",Aniquim,Flagpole frogfish; Longlure frogfish,1,1,0,0,0,0,0,0,2,DEEP,65,MEDSMALL,11,SED,"WA, OIB, MAR, EA",MCAR,MCAR,PEL,N,1,,DD,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,13,0,,,0,"16, 21, 29, 24, 41",H,,
OSTEICH,Lophiiformes,ANTENNARIIDAE,Antennarius,Antennarius striatus,"(Shaw, 1794)","peixe-pescador riscado, antenarius; peixe-sapo; sapo; ",striated-frogfish; Striped frogfish; Splitlure frogfish; Striped anglerfish,1,1,0,0,1,1,1,0,5,VDEEP,219,MEDSMALL,15,SED,CT,MCAR,MCAR,PEL,N,1,LC,DD,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,12,0,,,0,"9, 18, 35","D, H",,
OSTEICH,Lophiiformes,ANTENNARIIDAE,Histrio,Histrio histrio,"(Linnaeus, 1758)",Peixe-sargaço,Sargassumfish,0,0,0,0,1,0,0,1,2,MID,50,MEDSMALL,14,ROV,CT,MCAR,MCAR,PEL,Y,1,,LC,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,13,0,,,0,,H,Cadu,
OSTEICH,Perciformes,APOGONIDAE,Apogon,Apogon affinis ,"(Poey, 1875)",apogon,Bigtooth cardinalfish,1,0,0,0,0,0,0,0,1,VDEEP,300,MEDSMALL,11,SED,"WA, EA",PLANK,NPLA,BRO,N,0,,DD,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,,,0,,"D, H",,
OSTEICH,Perciformes,APOGONIDAE,Apogon,Apogon americanus,"Castelnau, 1855","apogon brasileiro, apogon",Brazilian apogon; Brazilian flamefish,1,1,0,1,0,0,0,0,3,MID,63,MEDSMALL,12,SED,"BR, OIB",PLANK,NPLA,BRO,N,1,,LC,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,19,1,1,,0,"10, 15, 16, 22, 24, 29, 37, 41, 49, 51, 57, 70","D, H",,
OSTEICH,Perciformes,APOGONIDAE,Apogon,Apogon planifrons ,"Longley & Hildebrand, 1940",cardeal pálido,Pale cardinalfish,1,1,0,0,1,1,0,0,4,MID,30,MEDSMALL,11,SED,WA,PLANK,NPLA,BRO,N,0,,DD,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,9,0,,,0,"29, 35",D,,
